Typical Measured Spectrum of Semrock FF01-515/588/700 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
454.8	1.0e-07
455.0	1.0e-07
455.2	1.0e-07
455.4	1.0e-07
455.6	1.0e-07
455.8	1.0e-07
456.0	1.0e-07
456.2	1.0e-07
456.4	1.0e-07
456.6	1.0e-07
456.8	1.0e-07
457.0	1.0e-07
457.2	1.0e-07
457.4	1.0e-07
457.6	1.0e-07
457.8	1.0e-07
458.0	1.0e-07
458.2	1.0e-07
458.4	1.0e-07
458.6	9.7962e-08
458.8	9.531e-08
459.0	9.2729e-08
459.2	9.0218e-08
459.4	8.7775e-08
459.6	8.5399e-08
459.8	8.3086e-08
460.0	8.0837e-08
460.2	7.8648e-08
460.4	7.6518e-08
460.6	7.4446e-08
460.8	7.2431e-08
461.0	7.0469e-08
461.2	6.8561e-08
461.4	6.6705e-08
461.6	6.4899e-08
461.8	6.3141e-08
462.0	6.1432e-08
462.2	5.9768e-08
462.4	5.815e-08
462.6	5.6576e-08
462.8	5.5044e-08
463.0	5.3553e-08
463.2	5.2103e-08
463.4	5.0692e-08
463.6	4.832e-08
463.8	4.5737e-08
464.0	4.3292e-08
464.2	4.0977e-08
464.4	3.8787e-08
464.6	3.6713e-08
464.8	3.4751e-08
465.0	3.2893e-08
465.2	3.1134e-08
465.4	2.947e-08
465.6	2.7895e-08
465.8	2.6403e-08
466.0	2.4992e-08
466.2	2.3656e-08
466.4	2.2391e-08
466.6	2.1194e-08
466.8	2.0061e-08
467.0	1.8989e-08
467.2	1.7974e-08
467.4	1.7013e-08
467.6	1.6103e-08
467.8	1.5242e-08
468.0	1.4428e-08
468.2	1.3656e-08
468.4	1.2926e-08
468.6	1.3837e-08
468.8	1.5449e-08
469.0	1.7249e-08
469.2	1.9258e-08
469.4	2.1502e-08
469.6	2.4007e-08
469.8	2.6804e-08
470.0	2.9926e-08
470.2	3.3413e-08
470.4	3.7305e-08
470.6	4.1651e-08
470.8	4.6503e-08
471.0	5.1921e-08
471.2	5.797e-08
471.4	6.4723e-08
471.6	7.2264e-08
471.8	8.0682e-08
472.0	9.0082e-08
472.2	1.0058e-07
472.4	1.1229e-07
472.6	1.2538e-07
472.8	1.3998e-07
473.0	1.5629e-07
473.2	1.745e-07
473.4	1.9483e-07
473.6	2.0741e-07
473.8	2.1714e-07
474.0	2.2733e-07
474.2	2.38e-07
474.4	2.4917e-07
474.6	2.6086e-07
474.8	2.7311e-07
475.0	2.8592e-07
475.2	2.9934e-07
475.4	3.1339e-07
475.6	3.281e-07
475.8	3.435e-07
476.0	3.5962e-07
476.2	3.7649e-07
476.4	3.9416e-07
476.6	4.1266e-07
476.8	4.3202e-07
477.0	4.523e-07
477.2	4.7353e-07
477.4	4.9575e-07
477.6	5.1901e-07
477.8	5.4337e-07
478.0	5.6887e-07
478.2	5.9557e-07
478.4	6.2352e-07
478.6	6.3848e-07
478.8	6.4859e-07
479.0	6.5887e-07
479.2	6.693e-07
479.4	6.7991e-07
479.6	6.9068e-07
479.8	7.0162e-07
480.0	7.1273e-07
480.2	7.2403e-07
480.4	7.355e-07
480.6	7.4715e-07
480.8	7.5899e-07
481.0	7.7101e-07
481.2	7.8322e-07
481.4	7.9563e-07
481.6	8.0824e-07
481.8	8.2104e-07
482.0	8.088e-07
482.2	5.4533e-07
482.4	3.6768e-07
482.6	2.4791e-07
482.8	1.6715e-07
483.0	1.127e-07
483.2	7.5987e-08
483.4	5.1234e-08
483.6	3.4544e-08
483.8	7.4205e-08
484.0	1.594e-07
484.2	2.1365e-07
484.4	1.7002e-07
484.6	1.3529e-07
484.8	1.0979e-07
485.0	1.3767e-07
485.2	2.5181e-07
485.4	4.5591e-07
485.6	3.0156e-07
485.8	1.9947e-07
486.0	1.7145e-07
486.2	1.9412e-07
486.4	2.4584e-07
486.6	3.1134e-07
486.8	2.1619e-07
487.0	8.3297e-08
487.2	3.2093e-08
487.4	1.2615e-07
487.6	2.1709e-07
487.8	1.6414e-07
488.0	1.2411e-07
488.2	1.5344e-07
488.4	1.9065e-07
488.6	2.2289e-07
488.8	2.433e-07
489.0	2.1599e-07
489.2	1.9174e-07
489.4	1.5761e-07
489.6	1.1921e-07
489.8	9.0159e-08
490.0	1.2428e-07
490.2	1.578e-07
490.4	1.796e-07
490.6	2.0442e-07
490.8	2.3431e-07
491.0	2.6863e-07
491.2	1.397e-07
491.4	2.9248e-08
491.6	5.4989e-08
491.8	1.0338e-07
492.0	1.5506e-07
492.2	1.8553e-07
492.4	2.2199e-07
492.6	2.5707e-07
492.8	2.4762e-07
493.0	2.0066e-07
493.2	1.6261e-07
493.4	1.973e-07
493.6	2.3989e-07
493.8	1.8042e-07
494.0	7.9091e-08
494.2	5.091e-08
494.4	3.277e-08
494.6	4.3279e-08
494.8	1.226e-07
495.0	3.4731e-07
495.2	4.8505e-07
495.4	5.6664e-07
495.6	5.6504e-07
495.8	5.6345e-07
496.0	5.0854e-07
496.2	4.5732e-07
496.4	4.3065e-07
496.6	4.3082e-07
496.8	4.9944e-07
497.0	5.79e-07
497.2	6.9525e-07
497.4	8.6533e-07
497.6	1.077e-06
497.8	1.2948e-06
498.0	1.6621e-06
498.2	2.2772e-06
498.4	3.1199e-06
498.6	5.7048e-06
498.8	1.0477e-05
499.0	5.5515e-05
499.2	3.0331e-04
499.4	5.5924e-04
499.6	8.8769e-04
499.8	0.00154
500.0	0.00368
500.2	0.01166
500.4	0.04505
500.6	0.15007
500.8	0.37744
501.0	0.60603
501.2	0.75577
501.4	0.85117
501.6	0.90632
501.8	0.92734
502.0	0.93882
502.2	0.94576
502.4	0.94964
502.6	0.95246
502.8	0.95467
503.0	0.95754
503.2	0.96025
503.4	0.96196
503.6	0.96101
503.8	0.95961
504.0	0.95919
504.2	0.96002
504.4	0.96227
504.6	0.96478
504.8	0.96607
505.0	0.9651
505.2	0.96349
505.4	0.96283
505.6	0.96365
505.8	0.96475
506.0	0.96672
506.2	0.96735
506.4	0.96624
506.6	0.96385
506.8	0.96202
507.0	0.96095
507.2	0.96109
507.4	0.96271
507.6	0.9638
507.8	0.96383
508.0	0.96405
508.2	0.9624
508.4	0.96125
508.6	0.96066
508.8	0.96114
509.0	0.96342
509.2	0.96662
509.4	0.96896
509.6	0.97132
509.8	0.97145
510.0	0.97129
510.2	0.97111
510.4	0.97018
510.6	0.96916
510.8	0.9699
511.0	0.97015
511.2	0.97045
511.4	0.96934
511.6	0.96774
511.8	0.96742
512.0	0.96659
512.2	0.96669
512.4	0.9667
512.6	0.96735
512.8	0.96737
513.0	0.96786
513.2	0.96699
513.4	0.96569
513.6	0.96393
513.8	0.96326
514.0	0.96371
514.2	0.9644
514.4	0.96614
514.6	0.96807
514.8	0.97021
515.0	0.97235
515.2	0.97308
515.4	0.97311
515.6	0.97235
515.8	0.97138
516.0	0.97015
516.2	0.97079
516.4	0.97139
516.6	0.9723
516.8	0.97409
517.0	0.9743
517.2	0.97423
517.4	0.97356
517.6	0.97208
517.8	0.97071
518.0	0.96964
518.2	0.96943
518.4	0.96993
518.6	0.9711
518.8	0.97153
519.0	0.97151
519.2	0.97097
519.4	0.96969
519.6	0.96859
519.8	0.96786
520.0	0.96733
520.2	0.96848
520.4	0.96979
